Barkod,Ürün Adı,Maliyet (TL),Kargo (TL),Komisyon (%)
AYT003INCI001045,"Doğal Inci Kolye Bileklik Set, Mıknatıs Kapamalı",1996.0,100.0,22.5
AYT003INCI000940,Doğal Inci Kolye Bileklik Küpe Seti,1396.0,100.0,22.5
AYT003INCI000843,"Doğal Inci Kolye Bileklik Küpe Seti (PASLANMAZ ÇELİK GEMİCİ KİLİDİ, ÇELİK KÜPE APARATI)",1396.0,100.0,22.5
AYT003INCI000743,"Doğal Siyah İnci Kolye Bileklik Küpe Seti (10 mm İnci, Gül Formlu Küpe, Gemici Kilidi)",1996.0,100.0,22.5
AYT003INCI000640,Doğal Siyah Barok İnci Kolye Bileklik Küpe Set,3500.0,100.0,22.5
AYT003DGL000340,"Doğal ametist, kristal kuvars ve hematit kolye bileklik set",480.0,100.0,22.5
AYT003DGL000240,Doğal güneş taşı ve doğal inci kolye bileklik set,600.0,100.0,22.5
AYT003DGL000140,Doğal Yeşim Ve Doğal Inci Kolye Bileklik Set,480.0,100.0,22.5
AYT001INCI0007A70,Doğal barok inci kolye (Dorika Detaylı),500.0,100.0,22.5
AYT001INCI0007G70,Doğal barok inci kolye (Dorika Detaylı),500.0,100.0,22.5
AYT001INCI0005G70,Doğal barok inci kolye (Dorika Detaylı),500.0,100.0,22.5
AYT001INCI0003G70,Doğal barok inci kolye,500.0,100.0,22.5
AYT001INCI0005A70,Doğal barok inci kolye (Dorika Detaylı),500.0,100.0,22.5
AYT001INCI0006G100,Doğal barok inci uzun kolye 1 mt,996.0,100.0,22.5
AYT001INCI0006A100,Doğal barok inci uzun kolye 1 mt,996.0,100.0,22.5
AYT003IMT01140,İnci Kolye Bileklik Küpe Set Gümüş Renk O-T Klips Kapama,159.6,100.0,22.5
AYT003IMT01040,İnci Kolye Bileklik Küpe Set Altın Renk O-T Klips kapama,159.6,100.0,22.5
AYT001INCI0004G70,Doğal barok inci kolye,500.0,100.0,22.5
AYT003INCI0004G70,Doğal Barok Inci 2'li Set,500.0,100.0,22.5
AYT003INCI0003A70,Doğal Barok Inci 2'li Set,796.0,100.0,22.5
AYT001INCI0004A70,Doğal barok inci kolye,500.0,100.0,22.5
AYT001INCI0003A70,Doğal barok inci kolye,500.0,100.0,22.5
AYT003IMT00940,Gemici dümenli inci set,119.6,100.0,22.5
AYT002INCI000817,Doğal İnci Bileklik,380.0,100.0,22.5
AYT002INCI000717,Doğal İnci Bileklik,380.0,100.0,22.5
AYT002INCI000617,Doğal İnci Bileklik,440.0,100.0,22.5
AYT006INCI00503,Doğal İnci Yüzük,139.6,100.0,22.5
AYT003IMT00842,"İnci Set, Zirkon Taş Rondela Detaylı Kolye Bileklik Küpe",155.6,100.0,22.5
AYT003IMT00639,Sade Şık İnci Kolye Bileklik Set,119.6,100.0,22.5
AYT003IMT00335,Şık Zarif Elegant Barok Inci Set Kolye Bileklik Küpe,196.0,100.0,22.5
AYT006INCI004GKALP,Doğal İnci Yüzük (Hematit Kalp),108.0,100.0,22.5
AYT006INCI004AKALP,Doğal İnci Yüzük (Hematit Kalp),108.0,100.0,22.5
AYT002MTL0005G,Alaşım Kelepçe Bileklik,85.32333333333334,100.0,22.5
AYT003IMT00245,Barok Inci Kısa Kolye ve bileklik set,119.6,100.0,22.5
AYT002MTL0002,Küp Detaylı Dörtlü Kombin Bileklik Küp Kombin Bileklik,119.6,100.0,22.5
AYT002MTL000121,Angelus Model 3mm Kalın Kararmaz Unisex Bileklik Gümüş Kaplama,85.32333333333334,100.0,22.5
AYT007YILDIZ00102,Çelik Şahmeran (HEMATİT TAŞLI YILDIZ),99.6,100.0,22.5
AYT007KURE00102,Çelik Şahmeran (Küre),99.6,100.0,22.5
AYT007KURE00101,Çelik Şahmeran (Küre),99.6,100.0,22.5
AYT007YILDIZ00302,Çelik Şahmeran (SEDEF TAŞI YILDIZ),99.6,100.0,22.5
AYT007YILDIZ00101,Çelik Şahmeran (HEMATİT TAŞI YILDIZ),99.6,100.0,22.5
AYT007KALP00201,Çelik Şahmeran (HEMATİT TAŞI KALP),99.6,100.0,22.5
AYT007KALP00101,Çelik Şahmeran (HEMATİT TAŞ KALP),99.6,100.0,22.5
AYT003IMT00145,İnci Kolye Bileklik Küpe Set,159.6,100.0,22.5
AYT006INCI003AKURE,Doğal İnci Yüzük (Hematit Küre),108.0,100.0,22.5
AYT006INCI003GKURE,Doğal İnci Yüzük (Hematit Küre),108.0,100.0,22.5
AYT006INCI002AYILDIZ,Doğal İnci Yüzük (Hematit Yıldız),108.0,100.0,22.5
AYT006INCI002GYILDIZ,Doğal İnci Yüzük (Hematit Yıldız),108.0,100.0,22.5
AYT002CHARM00118,İtalyan Charm Çelik Bileklik,85.32333333333334,100.0,22.5
AYT003INCI0002A40,Doğal Inci Kolye Bileklik Set (ALTIN RENK PASLANMAZ ÇELİK ZİNCİR),500.0,100.0,22.5
AYT003INCI0001G40,Doğal Inci Kolye Bileklik Set (GÜMÜŞ RENK PASLANMAZ ÇELİK ZİNCİR),500.0,100.0,22.5
AYT002TRMLN000316,Doğal Siyah Turmalin Bileklik (6 mm),284.0,100.0,22.5
AYT002TRMLN000322,Doğal Siyah Turmalin Bileklik (6 mm),284.0,100.0,22.5
AYT002TRMLN000318,Doğal Siyah Turmalin Bileklik (6 mm),284.0,100.0,22.5
AYT002TRMLN000320,Doğal Siyah Turmalin Bileklik (6 mm),284.0,100.0,22.5
AYT002TRMLN000216,Doğal Siyah Turmalin Bileklik,324.0,100.0,22.5
AYT002TRMLN000218,Doğal Siyah Turmalin Bileklik,324.0,100.0,22.5
AYT002TRMLN000222,Doğal Siyah Turmalin Bileklik,324.0,100.0,22.5
AYT002TRMLN000220,Doğal Siyah Turmalin Bileklik,324.0,100.0,22.5
AYT002TRMLN000120,Doğal Siyah Turmalin Bileklik (Kehribar taşlı),396.0,100.0,22.5
AYT002TRMLN000118,Doğal Siyah Turmalin Bileklik (Kehribar taşlı),396.0,100.0,22.5
AYT002TRMLN000116,Doğal Siyah Turmalin Bileklik (Kehribar taşlı),396.0,100.0,22.5
AYT002TRMLN000122,Doğal Siyah Turmalin Bileklik (Kehribar taşlı),396.0,100.0,22.5
AYT003TRKZ0001G40,Doğal Turkuaz Kolye Bileklik Set,236.0,100.0,22.5
AYT003TRKZ0001A40,Doğal Turkuaz Kolye Bileklik Set,236.0,100.0,22.5
AYT003AYT0001G40,Doğal Ay Taşı Kolye Bileklik Set,240.0,100.0,22.5
AYT003AYT0001A40,Doğal Ay Taşı Kolye Bileklik Set,240.0,100.0,22.5
AYT003YSM0001G40,Doğal Yeşim Kolye Bileklik Set,248.0,100.0,22.5
AYT003YSM0001A40,Doğal Yeşim Kolye Bileklik Set,248.0,100.0,22.5
AYT004INCI00011,Doğal İnci Küpe,119.6,100.0,22.5
AYT001KOLYE000140,Doğal Barok Inci Kolye,1599.6,100.0,22.5
AYT001SET000240,Doğal Inci Kolye Bileklik Set,480.0,100.0,22.5
AYT002AQUA00118,Aquamarın Bileklik,356.0,100.0,22.5
AYT002AQUA00116,Aquamarın Bileklik,356.0,100.0,22.5
AYT002AQUA00120,Aquamarın Bileklik,356.0,100.0,22.5
AYT002AQUA00122,Aquamarın Bileklik,356.0,100.0,22.5
AYT002INCI000522,Doğal Inci Bileklik (4 Mm Inci),340.0,100.0,22.5
AYT002INCI000516,Doğal Inci Bileklik (4 Mm Inci),340.0,100.0,22.5
AYT002INCI000518,Doğal Inci Bileklik (4 Mm Inci),340.0,100.0,22.5
AYT002INCI000520,Doğal Inci Bileklik (4 Mm Inci),340.0,100.0,22.5
AYT002INCI000220,Doğal İnci Bileklik,304.0,100.0,22.5
AYT002INCI000222,Doğal İnci Bileklik,304.0,100.0,22.5
AYT002INCI000218,Doğal İnci Bileklik,304.0,100.0,22.5
AYT002INCI000216,Doğal İnci Bileklik,304.0,100.0,22.5
AYT002AMETIST000116,Doğal Ametist Bileklik,324.0,100.0,22.5
AYT002AMETIST000120,Doğal Ametist Bileklik,324.0,100.0,22.5
AYT002AMETIST000122,Doğal Ametist Bileklik,324.0,100.0,22.5
AYT002AMETIST000118,Doğal Ametist Bileklik,324.0,100.0,22.5
